tarih;time;toplam;dogalgaz;ruzgar;linyit;tasKomur;ithalKomur;fuelOil;jeotermal;barajli;nafta;biokutle;akarsu;gunes;diger
2025-01-01 00:00:00;00:00;30848,82;5753,31;2024,78;4423,0;256,0;9389,2;14,5;1125,97;5243,04;0,4;944,4;1541,62;0,0;132,6
2025-01-01 01:00:00;01:00;28950,78;5265,68;1885,65;4137,0;256,0;9388,8;7,5;1129,01;4506,04;0,4;948,78;1293,32;0,0;132,6
2025-01-01 02:00:00;02:00;27501,66;5246,68;1821,14;3930,0;256,0;9389,2;15,5;1131,49;3506,04;0,4;951,48;1121,13;0,0;132,6
2025-01-01 03:00:00;03:00;26344,22;5154,06;1805,3;3769,0;256,0;9347,0;22,5;1133,42;2715,74;0,5;952,58;1056,62;0,0;131,5
2025-01-01 04:00:00;04:00;25929,17;5350,01;1741,55;3706,0;256,0;9347,0;14,5;1135,94;2331,94;0,4;946,38;968,15;0,0;131,3
2025-01-01 05:00:00;05:00;26125,45;5670,18;1735,08;3725,0;256,0;9347,0;14,5;1137,41;2174,44;0,4;943,38;990,76;0,0;131,3
2025-01-01 06:00:00;06:00;26209,23;5690,19;1718,96;3805,6;256,0;9347,0;14,5;1138,21;2069,14;1,1;950,64;1086,59;0,0;131,3
2025-01-01 07:00:00;07:00;27184,59;5733,38;1638,42;3852,5;256,0;9379,0;14,5;1138,04;2863,34;1,1;957,74;1216,69;2,58;131,3
2025-01-01 08:00:00;08:00;27056,47;5259,89;1548,68;3843,9;256,0;9380,0;14,5;1137,11;2989,64;1,1;954,06;1403,24;135,95;132,4
2025-01-01 09:00:00;09:00;26936,61;4895,24;1566,04;3842,2;256,0;9393,0;18,5;1134,71;2778,64;0,3;962,84;1306,85;649,69;132,6
2025-01-01 10:00:00;10:00;26420,51;4205,4;1557,27;3743,58;256,0;8950,9;14,5;1129,33;3190,04;0,3;951,77;1288,13;1000,69;132,6
2025-01-01 11:00:00;11:00;25854,96;4261,29;1495,65;3705,59;256,0;8690,6;18,9;1124,65;2917,34;0,2;959,83;1155,38;1136,93;132,6
2025-01-01 12:00:00;12:00;25206,75;4332,39;1452,13;3683,1;256,0;7652,2;21,9;1115,41;3274,74;0,2;975,71;1111,54;1199,93;131,5
2025-01-01 13:00:00;13:00;25609,3;4337,03;1349,81;3624,19;256,0;8275,0;19,9;1107,99;3204,64;0,2;973,66;1099,8;1229,58;131,5
2025-01-01 14:00:00;14:00;26738,5;4753,83;1228,0;3575,5;256,0;9050,0;24,8;1098,82;3228,19;0,2;987,14;1207,37;1197,15;131,5
2025-01-01 15:00:00;15:00;28900,03;6299,26;1218,58;3581,5;256,0;9270,5;20,8;1092,79;3632,84;0,2;979,69;1379,97;1035,3;132,6
2025-01-01 16:00:00;16:00;32023,95;8752,59;1181,61;3651,6;256,0;9257,5;17,5;1090,45;4518,64;0,2;979,17;1709,92;476,17;132,6
2025-01-01 17:00:00;17:00;34277,23;9933,7;1151,87;3678,6;256,0;9255,5;14,5;1092,19;5763,74;0,2;970,87;1989,27;37,99;132,8
2025-01-01 18:00:00;18:00;36198,88;10328,23;1198,48;3780,6;256,0;9255,5;14,5;1100,67;7135,74;1,0;975,93;2019,33;0,0;132,9
2025-01-01 19:00:00;19:00;35949,27;10329,44;1251,52;3756,6;256,0;9255,5;14,5;1107,58;7016,84;1,0;972,58;1854,81;0,0;132,9
2025-01-01 20:00:00;20:00;35665,72;10308,61;1341,2;3657,6;256,0;9255,5;14,5;1114,14;6926,64;1,0;965,12;1692,81;0,0;132,6
2025-01-01 21:00:00;21:00;34816,21;10172,35;1420,85;3682,6;256,0;9255,5;14,5;1120,53;6206,44;1,1;961,43;1593,41;0,0;131,5
2025-01-01 22:00:00;22:00;34547,53;9197,04;1419,58;3708,8;256,0;9255,5;14,5;1125,77;7143,44;0,3;959,83;1335,27;0,0;131,5
2025-01-01 23:00:00;23:00;33049,8;8946,55;1447,04;3702,1;256,0;9255,5;14,5;1129,08;6039,54;0,4;956,83;1170,76;0,0;131,5
2025-01-02 00:00:00;00:00;31906,48;9051,92;1458,43;3618,1;261,0;9312,0;14,5;1124,37;4936,14;0,4;948,45;1079,57;0,0;101,6
2025-01-02 01:00:00;01:00;29922,48;8314,05;1518,73;3833,1;261,0;9312,0;14,5;1127,62;3517,14;0,4;951,77;970,57;0,0;101,6
2025-01-02 02:00:00;02:00;28439,45;7365,3;1553,76;3725,1;261,0;9312,0;14,5;1130,08;3069,64;0,4;956,39;949,68;0,0;101,6
2025-01-02 03:00:00;03:00;27311,07;7171,81;1692,91;3635,1;261,0;9312,0;14,5;1131,81;2172,24;0,5;941,24;876,36;0,0;101,6
2025-01-02 04:00:00;04:00;27108,9;6800,75;1875,18;3743,1;261,0;9312,0;7,5;1135,24;2045,74;0,4;937,45;869,04;0,0;121,5
2025-01-02 05:00:00;05:00;27569,51;7178,85;2072,45;3754,1;254,0;9312,0;14,5;1136,51;1889,74;0,4;936,06;889,4;0,0;131,5
2025-01-02 06:00:00;06:00;29406,29;9012,78;2302,91;3739,6;254,0;9312,0;14,5;1136,61;1605,64;1,1;934,59;962,23;0,03;130,3
2025-01-02 07:00:00;07:00;32650,02;10954,67;2502,98;3800,6;261,0;9292,0;14,5;1136,54;2377,84;1,1;947,64;1225,36;5,49;130,3
2025-01-02 08:00:00;08:00;35680,37;11997,08;2742,64;3799,9;261,0;9142,0;14,5;1135,51;3570,24;1,1;951,86;1670,49;213,75;180,3
2025-01-02 09:00:00;09:00;37040,22;12246,28;2993,51;3796,2;261,0;9155,0;18,5;1132,82;3915,14;0,3;959,75;1612,1;768,72;180,9
2025-01-02 10:00:00;10:00;37152,76;12244,22;3225,92;3764,6;261,0;9192,0;21,5;1127,93;3515,84;0,3;957,02;1466,29;1194,24;181,9
2025-01-02 11:00:00;11:00;36350,71;11628,83;3326,32;3689,2;261,0;9219,0;21,4;1122,35;3348,34;0,2;956,69;1290,05;1304,43;182,9
2025-01-02 12:00:00;12:00;33791,91;9707,65;3348,66;3722,4;261,0;9220,0;21,3;1112,41;2670,84;0,2;984,92;1210,4;1349,23;182,9
2025-01-02 13:00:00;13:00;34528,61;10223,35;3386,17;3736,4;261,0;9219,0;21,0;1100,29;2801,74;0,2;982,73;1231,11;1383,22;182,4
2025-01-02 14:00:00;14:00;36393,39;11698,84;3450,63;3762,9;261,0;9166,0;20,7;1095,32;3058,44;0,2;982,17;1345,92;1369,37;181,9
2025-01-02 15:00:00;15:00;38434,03;12818,71;3556,97;3755,5;261,0;9207,0;19,6;1086,68;3804,34;0,2;979,15;1607,06;1157,92;179,9
2025-01-02 16:00:00;16:00;39843,31;12996,32;3716,05;3799,4;261,0;9202,0;16,5;1084,35;5147,74;0,2;970,42;1915,7;561,63;172,0
2025-01-02 17:00:00;17:00;40951,55;13016,23;3985,98;3820,7;261,0;9200,0;14,5;1085,9;6205,24;0,2;965,0;2161,56;63,34;171,9
2025-01-02 18:00:00;18:00;42756,46;13309,5;4385,78;3825,6;261,0;9200,0;14,5;1094,47;7476,44;1,0;964,01;2052,26;0,0;171,9
2025-01-02 19:00:00;19:00;42369,09;13338,39;4784,63;3915,6;261,0;9200,0;14,5;1101,28;6901,74;1,0;960,35;1718,7;0,0;171,9
2025-01-02 20:00:00;20:00;41111,77;13076,98;5135,77;3869,6;261,0;9200,0;14,5;1107,84;5781,44;1,0;947,12;1544,62;0,0;171,9
2025-01-02 21:00:00;21:00;40273,91;12536,97;5376,28;3844,6;261,0;9185,0;14,5;1115,33;5348,34;1,1;938,42;1480,47;0,0;171,9
